datum,preis
2021-01-04,168.26
2021-01-05,168.22
2021-01-06,170.66
2021-01-07,171.16
2021-01-08,172.5
2021-01-11,171.14
2021-01-12,171.1
2021-01-13,171.48
2021-01-14,172.86
2021-01-15,170.8
2021-01-18,171.12
2021-01-19,170.84
2021-01-20,172.06
2021-01-21,171.98
2021-01-22,171.1
2021-01-25,169.66
2021-01-26,171.12
2021-01-27,168.72
2021-01-28,169.02
2021-01-29,165.58
2021-02-01,167.88
2021-02-02,170.26
2021-02-03,170.46
2021-02-04,171.74
2021-02-05,171.64
2021-02-08,171.98
2021-02-09,172.08
2021-02-10,171.56
2021-02-11,172.24
2021-02-12,173.38
2021-02-15,175.68
2021-02-16,175.62
2021-02-17,174.06
2021-02-18,172.88
2021-02-19,173.86
2021-02-22,173.16
2021-02-23,172.46
2021-02-24,173.26
2021-02-25,172.44
2021-02-26,169.84
2021-03-01,173.08
2021-03-02,173.24
2021-03-03,173.52
2021-03-04,172.94
2021-03-05,171.58
2021-03-08,175.16
2021-03-09,176.58
2021-03-10,177.18
2021-03-11,178.14
2021-03-12,177.52
2021-03-15,177.8
2021-03-16,179.44
2021-03-17,178.4
2021-03-18,179.2
2021-03-19,177.88
2021-03-22,178.4
2021-03-23,178.1
2021-03-24,178.1
2021-03-25,178.1
2021-03-26,179.68
2021-03-29,179.82
2021-03-30,181.28
2021-03-31,181.04
2021-04-01,182.0
2021-04-06,183.4
2021-04-07,182.82
2021-04-08,184.0
2021-04-09,184.3
2021-04-12,183.34
2021-04-13,183.6
2021-04-14,183.88
2021-04-15,184.96
2021-04-16,186.48
2021-04-19,186.46
2021-04-20,183.16
2021-04-21,184.26
2021-04-22,185.72
2021-04-23,185.36
2021-04-26,185.84
2021-04-27,185.9
2021-04-28,185.82
2021-04-29,185.48
2021-04-30,184.82
2021-05-03,186.32
2021-05-04,183.42
2021-05-05,186.96
2021-05-06,186.86
2021-05-07,188.58
2021-05-10,188.72
2021-05-11,185.06
2021-05-12,185.58
2021-05-13,185.66
2021-05-14,187.84
2021-05-17,187.64
2021-05-18,188.0
2021-05-19,185.24
2021-05-20,187.82
2021-05-21,188.84
2021-05-25,189.3
2021-05-26,189.48
2021-05-27,189.98
2021-05-28,191.1
2021-05-31,190.14
2021-06-01,191.7
2021-06-02,192.24
2021-06-03,191.92
2021-06-04,192.72
2021-06-07,193.2
2021-06-08,193.46
2021-06-09,193.44
2021-06-10,193.78
2021-06-11,194.92
2021-06-14,195.24
2021-06-15,195.44
2021-06-16,195.92
2021-06-17,195.72
2021-06-18,192.66
2021-06-21,194.12
2021-06-22,194.56
2021-06-23,193.14
2021-06-24,194.96
2021-06-25,195.14
2021-06-28,193.9
2021-06-29,194.64
2021-06-30,193.2
2021-07-01,194.28
2021-07-02,194.7
2021-07-05,195.4
2021-07-06,194.44
2021-07-07,196.12
2021-07-08,192.6
2021-07-09,195.18
2021-07-12,196.42
2021-07-13,196.48
2021-07-14,196.02
2021-07-15,194.56
2021-07-16,193.86
2021-07-19,189.52
2021-07-20,190.58
2021-07-21,193.6
2021-07-22,194.86
2021-07-23,196.86
2021-07-26,196.74
2021-07-27,195.66
2021-07-28,197.0
2021-07-29,197.96
2021-07-30,197.0
2021-08-02,198.12
2021-08-03,198.72
